User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 7972,,,,,,,,,,,,,,,,,
Test name: MURIS_Ab,Date: 2021-08-28,Time: 12:51:03 PM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ID1: plate314,,,,,,,,,,,,,,,,,,,
Absorbance spectrum,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06
Content,Wavelength [nm],Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24
Raw Data (Abs Spectrum),370,0.952,0.293,1.133,0.583,0.323,0.318,0.934,0.292,1.196,0.59,0.393,0.355,0.96,0.418,1.42,0.704,0.379,0.333
Raw Data (Abs Spectrum),380,0.879,0.231,1.078,0.513,0.257,0.243,0.864,0.225,1.125,0.498,0.319,0.276,0.887,0.344,1.348,0.612,0.291,0.242
Raw Data (Abs Spectrum),390,0.849,0.213,1.059,0.492,0.239,0.221,0.84,0.207,1.101,0.473,0.3,0.254,0.863,0.325,1.329,0.586,0.269,0.218
Raw Data (Abs Spectrum),400,0.836,0.206,1.051,0.483,0.234,0.212,0.828,0.201,1.09,0.464,0.295,0.244,0.851,0.317,1.325,0.576,0.263,0.209
Raw Data (Abs Spectrum),410,0.835,0.203,1.065,0.483,0.232,0.206,0.83,0.197,1.101,0.463,0.295,0.238,0.853,0.313,1.342,0.575,0.261,0.203
Raw Data (Abs Spectrum),420,0.827,0.2,1.095,0.484,0.231,0.199,0.834,0.195,1.116,0.465,0.294,0.231,0.864,0.312,1.379,0.578,0.261,0.197
Raw Data (Abs Spectrum),430,0.823,0.197,1.108,0.482,0.229,0.194,0.831,0.191,1.127,0.463,0.293,0.224,0.863,0.308,1.395,0.576,0.259,0.191
Raw Data (Abs Spectrum),440,0.833,0.197,1.146,0.485,0.23,0.19,0.842,0.19,1.165,0.466,0.295,0.22,0.874,0.31,1.439,0.58,0.26,0.188
Raw Data (Abs Spectrum),450,0.82,0.193,1.135,0.478,0.227,0.185,0.831,0.187,1.15,0.459,0.292,0.214,0.864,0.304,1.426,0.571,0.257,0.183
Raw Data (Abs Spectrum),460,0.806,0.19,1.103,0.469,0.224,0.182,0.816,0.183,1.116,0.451,0.289,0.21,0.844,0.297,1.388,0.56,0.254,0.18
Raw Data (Abs Spectrum),470,0.795,0.185,1.078,0.459,0.22,0.177,0.798,0.178,1.097,0.44,0.284,0.205,0.821,0.289,1.36,0.547,0.25,0.175
Raw Data (Abs Spectrum),480,0.765,0.181,1.067,0.447,0.215,0.172,0.775,0.174,1.075,0.429,0.279,0.199,0.8,0.281,1.347,0.531,0.244,0.17
Raw Data (Abs Spectrum),490,0.73,0.175,1.04,0.433,0.207,0.164,0.746,0.168,1.037,0.416,0.27,0.191,0.772,0.27,1.319,0.515,0.235,0.162
Raw Data (Abs Spectrum),500,0.744,0.173,1.024,0.43,0.208,0.163,0.746,0.166,1.043,0.412,0.271,0.19,0.762,0.267,1.301,0.51,0.235,0.161
Raw Data (Abs Spectrum),510,0.729,0.169,1.004,0.419,0.204,0.16,0.729,0.163,1.024,0.403,0.267,0.186,0.743,0.261,1.278,0.497,0.232,0.158
Raw Data (Abs Spectrum),520,0.697,0.165,0.981,0.404,0.199,0.156,0.7,0.158,0.995,0.388,0.26,0.181,0.713,0.251,1.25,0.478,0.225,0.154
Raw Data (Abs Spectrum),530,0.655,0.16,0.953,0.389,0.192,0.151,0.669,0.152,0.949,0.374,0.253,0.175,0.687,0.241,1.217,0.46,0.218,0.148
Raw Data (Abs Spectrum),540,0.64,0.156,0.917,0.38,0.189,0.149,0.651,0.149,0.917,0.364,0.249,0.172,0.665,0.234,1.177,0.447,0.214,0.146
Raw Data (Abs Spectrum),550,0.635,0.153,0.883,0.373,0.186,0.147,0.637,0.146,0.896,0.357,0.246,0.17,0.646,0.229,1.139,0.438,0.211,0.144
Raw Data (Abs Spectrum),560,0.631,0.152,0.868,0.368,0.185,0.146,0.629,0.145,0.887,0.353,0.245,0.168,0.634,0.226,1.123,0.432,0.209,0.143
Raw Data (Abs Spectrum),570,0.619,0.15,0.861,0.365,0.183,0.143,0.62,0.143,0.875,0.349,0.243,0.164,0.627,0.223,1.116,0.427,0.207,0.14
Raw Data (Abs Spectrum),580,0.617,0.149,0.858,0.363,0.182,0.142,0.615,0.141,0.876,0.347,0.243,0.163,0.621,0.221,1.113,0.425,0.206,0.139
Raw Data (Abs Spectrum),590,0.617,0.148,0.866,0.364,0.183,0.141,0.615,0.141,0.886,0.348,0.244,0.162,0.62,0.221,1.123,0.425,0.207,0.139
Raw Data (Abs Spectrum),600,0.606,0.147,0.869,0.362,0.182,0.14,0.607,0.14,0.885,0.346,0.243,0.16,0.614,0.218,1.128,0.423,0.206,0.138
Raw Data (Abs Spectrum),610,0.6,0.146,0.875,0.361,0.18,0.137,0.602,0.139,0.892,0.346,0.241,0.157,0.609,0.217,1.135,0.422,0.204,0.135
Raw Data (Abs Spectrum),620,0.612,0.147,0.895,0.367,0.182,0.136,0.611,0.14,0.919,0.351,0.244,0.156,0.618,0.219,1.159,0.429,0.207,0.134
Raw Data (Abs Spectrum),630,0.616,0.146,0.898,0.367,0.181,0.133,0.617,0.139,0.921,0.351,0.244,0.153,0.626,0.218,1.162,0.431,0.206,0.132
Raw Data (Abs Spectrum),640,0.614,0.144,0.877,0.364,0.179,0.13,0.612,0.137,0.902,0.348,0.241,0.149,0.621,0.216,1.139,0.427,0.204,0.128
Raw Data (Abs Spectrum),650,0.594,0.141,0.853,0.353,0.176,0.129,0.593,0.134,0.876,0.338,0.237,0.147,0.599,0.21,1.113,0.413,0.199,0.127
Raw Data (Abs Spectrum),660,0.571,0.139,0.843,0.343,0.172,0.128,0.571,0.131,0.86,0.328,0.232,0.146,0.577,0.204,1.102,0.399,0.195,0.126
Raw Data (Abs Spectrum),670,0.573,0.138,0.868,0.342,0.171,0.128,0.572,0.131,0.887,0.327,0.232,0.145,0.578,0.203,1.134,0.399,0.194,0.126
Raw Data (Abs Spectrum),680,0.578,0.138,0.909,0.344,0.172,0.128,0.58,0.131,0.926,0.33,0.233,0.145,0.589,0.205,1.183,0.402,0.196,0.126
Raw Data (Abs Spectrum),690,0.562,0.135,0.877,0.334,0.169,0.126,0.563,0.129,0.894,0.32,0.229,0.143,0.569,0.2,1.144,0.389,0.192,0.124
Raw Data (Abs Spectrum),700,0.533,0.132,0.813,0.319,0.164,0.123,0.535,0.125,0.824,0.306,0.222,0.14,0.54,0.192,1.069,0.37,0.186,0.121
Raw Data (Abs Spectrum),710,0.518,0.131,0.776,0.312,0.163,0.124,0.519,0.124,0.789,0.299,0.22,0.14,0.521,0.188,1.027,0.361,0.183,0.122
Raw Data (Abs Spectrum),720,0.506,0.129,0.75,0.306,0.16,0.122,0.505,0.123,0.764,0.293,0.217,0.138,0.506,0.184,0.998,0.352,0.18,0.12
Raw Data (Abs Spectrum),730,0.497,0.131,0.74,0.304,0.161,0.124,0.498,0.124,0.751,0.291,0.217,0.139,0.499,0.183,0.986,0.349,0.181,0.122
Raw Data (Abs Spectrum),740,0.491,0.132,0.727,0.302,0.162,0.125,0.49,0.125,0.739,0.289,0.217,0.14,0.491,0.183,0.973,0.345,0.181,0.123
Raw Data (Abs Spectrum),750,0.482,0.131,0.715,0.297,0.16,0.125,0.482,0.124,0.726,0.285,0.215,0.139,0.481,0.18,0.959,0.34,0.179,0.123
