User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 7800,,,,,,,,,,,,,,,,,,,,,,,
Test name: MURIS_Ab,Date: 2021-08-24,Time: 2:08:17 PM,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ID1: plate314_blank,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance spectrum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24
Raw Data (Abs Spectrum),370,0.234,0.23,0.23,0.229,0.238,0.232,0.236,0.222,0.225,0.233,0.234,0.243,0.23,0.226,0.228,0.262,0.247,0.24,0.239,0.243,0.246,0.253,0.267,0.257
Raw Data (Abs Spectrum),380,0.152,0.148,0.143,0.143,0.15,0.144,0.154,0.142,0.143,0.149,0.15,0.152,0.149,0.143,0.143,0.149,0.152,0.146,0.153,0.152,0.146,0.146,0.155,0.146
Raw Data (Abs Spectrum),390,0.127,0.124,0.117,0.119,0.125,0.119,0.13,0.119,0.119,0.124,0.126,0.127,0.125,0.119,0.118,0.121,0.126,0.12,0.129,0.127,0.12,0.12,0.127,0.119
Raw Data (Abs Spectrum),400,0.118,0.114,0.109,0.111,0.116,0.111,0.12,0.111,0.11,0.115,0.117,0.118,0.116,0.111,0.109,0.112,0.117,0.112,0.119,0.118,0.111,0.111,0.117,0.111
Raw Data (Abs Spectrum),410,0.112,0.108,0.102,0.105,0.11,0.105,0.113,0.105,0.104,0.109,0.111,0.112,0.11,0.104,0.102,0.106,0.111,0.106,0.112,0.111,0.104,0.105,0.111,0.105
Raw Data (Abs Spectrum),420,0.106,0.102,0.095,0.098,0.103,0.097,0.106,0.098,0.097,0.102,0.103,0.105,0.104,0.098,0.095,0.099,0.104,0.099,0.105,0.104,0.097,0.099,0.104,0.098
Raw Data (Abs Spectrum),430,0.102,0.098,0.091,0.094,0.099,0.094,0.102,0.095,0.093,0.098,0.099,0.102,0.1,0.095,0.091,0.096,0.1,0.096,0.101,0.1,0.093,0.095,0.1,0.095
Raw Data (Abs Spectrum),440,0.099,0.094,0.088,0.092,0.097,0.091,0.099,0.092,0.09,0.095,0.096,0.099,0.096,0.091,0.088,0.092,0.097,0.093,0.098,0.097,0.089,0.091,0.097,0.092
Raw Data (Abs Spectrum),450,0.096,0.092,0.086,0.089,0.094,0.089,0.096,0.089,0.087,0.092,0.094,0.097,0.094,0.089,0.085,0.09,0.094,0.091,0.095,0.094,0.087,0.089,0.094,0.09
Raw Data (Abs Spectrum),460,0.094,0.09,0.084,0.088,0.093,0.088,0.094,0.087,0.086,0.091,0.092,0.096,0.092,0.087,0.084,0.089,0.093,0.09,0.093,0.092,0.086,0.088,0.093,0.089
Raw Data (Abs Spectrum),470,0.093,0.089,0.084,0.087,0.092,0.088,0.093,0.086,0.085,0.09,0.091,0.095,0.09,0.086,0.084,0.088,0.092,0.09,0.092,0.091,0.085,0.087,0.092,0.089
Raw Data (Abs Spectrum),480,0.09,0.087,0.081,0.084,0.088,0.085,0.09,0.084,0.082,0.087,0.088,0.092,0.088,0.084,0.081,0.085,0.089,0.087,0.089,0.088,0.082,0.084,0.089,0.086
Raw Data (Abs Spectrum),490,0.088,0.085,0.079,0.082,0.086,0.081,0.088,0.082,0.08,0.084,0.085,0.089,0.086,0.082,0.078,0.083,0.086,0.084,0.087,0.085,0.079,0.082,0.086,0.083
Raw Data (Abs Spectrum),500,0.088,0.085,0.081,0.084,0.087,0.084,0.088,0.082,0.082,0.086,0.087,0.091,0.086,0.083,0.08,0.084,0.087,0.086,0.087,0.087,0.082,0.083,0.088,0.086
Raw Data (Abs Spectrum),510,0.088,0.085,0.08,0.083,0.086,0.084,0.087,0.082,0.081,0.085,0.086,0.09,0.085,0.082,0.079,0.083,0.086,0.086,0.086,0.086,0.081,0.083,0.087,0.085
Raw Data (Abs Spectrum),520,0.087,0.084,0.079,0.082,0.085,0.082,0.086,0.081,0.08,0.084,0.085,0.089,0.084,0.081,0.078,0.082,0.085,0.084,0.085,0.084,0.08,0.082,0.086,0.084
Raw Data (Abs Spectrum),530,0.085,0.081,0.075,0.079,0.082,0.079,0.084,0.078,0.077,0.081,0.082,0.086,0.082,0.078,0.074,0.079,0.082,0.081,0.083,0.081,0.076,0.079,0.083,0.08
Raw Data (Abs Spectrum),540,0.085,0.081,0.076,0.079,0.082,0.079,0.083,0.078,0.077,0.081,0.082,0.086,0.082,0.078,0.074,0.079,0.082,0.081,0.082,0.081,0.076,0.079,0.083,0.081
Raw Data (Abs Spectrum),550,0.085,0.081,0.077,0.081,0.083,0.081,0.084,0.079,0.078,0.082,0.083,0.087,0.082,0.079,0.076,0.08,0.083,0.083,0.083,0.082,0.078,0.08,0.084,0.082
Raw Data (Abs Spectrum),560,0.084,0.081,0.077,0.081,0.083,0.082,0.084,0.079,0.079,0.082,0.083,0.088,0.082,0.079,0.077,0.081,0.084,0.083,0.083,0.082,0.079,0.081,0.084,0.083
Raw Data (Abs Spectrum),570,0.084,0.08,0.076,0.08,0.082,0.08,0.082,0.078,0.077,0.081,0.082,0.086,0.081,0.078,0.075,0.08,0.082,0.082,0.082,0.081,0.077,0.079,0.083,0.082
Raw Data (Abs Spectrum),580,0.083,0.081,0.077,0.08,0.082,0.081,0.082,0.078,0.077,0.081,0.082,0.087,0.08,0.078,0.076,0.08,0.083,0.083,0.081,0.081,0.078,0.08,0.083,0.082
Raw Data (Abs Spectrum),590,0.083,0.08,0.077,0.08,0.082,0.081,0.082,0.078,0.077,0.081,0.082,0.087,0.08,0.078,0.076,0.08,0.083,0.083,0.081,0.081,0.078,0.08,0.083,0.083
Raw Data (Abs Spectrum),600,0.083,0.08,0.076,0.079,0.081,0.08,0.081,0.077,0.076,0.08,0.081,0.086,0.08,0.077,0.075,0.079,0.082,0.082,0.08,0.08,0.076,0.079,0.082,0.082
Raw Data (Abs Spectrum),610,0.082,0.079,0.076,0.079,0.081,0.08,0.081,0.077,0.076,0.08,0.08,0.085,0.08,0.077,0.075,0.079,0.081,0.081,0.08,0.08,0.076,0.079,0.082,0.081
Raw Data (Abs Spectrum),620,0.082,0.079,0.076,0.079,0.081,0.081,0.081,0.077,0.077,0.08,0.081,0.086,0.079,0.077,0.075,0.079,0.082,0.082,0.08,0.08,0.077,0.079,0.082,0.082
Raw Data (Abs Spectrum),630,0.081,0.078,0.075,0.078,0.08,0.079,0.08,0.076,0.075,0.079,0.079,0.084,0.078,0.076,0.074,0.078,0.08,0.08,0.079,0.079,0.076,0.078,0.081,0.08
Raw Data (Abs Spectrum),640,0.081,0.078,0.075,0.078,0.08,0.079,0.079,0.076,0.076,0.079,0.079,0.084,0.078,0.076,0.074,0.077,0.08,0.08,0.079,0.079,0.075,0.077,0.08,0.08
Raw Data (Abs Spectrum),650,0.08,0.077,0.074,0.077,0.079,0.078,0.079,0.075,0.075,0.078,0.078,0.083,0.077,0.075,0.073,0.077,0.079,0.08,0.078,0.078,0.075,0.077,0.08,0.08
Raw Data (Abs Spectrum),660,0.08,0.077,0.073,0.077,0.078,0.077,0.078,0.075,0.074,0.077,0.078,0.082,0.077,0.075,0.072,0.077,0.079,0.079,0.078,0.077,0.074,0.076,0.079,0.079
Raw Data (Abs Spectrum),670,0.08,0.077,0.073,0.076,0.078,0.077,0.078,0.074,0.074,0.077,0.078,0.082,0.077,0.075,0.072,0.077,0.078,0.079,0.077,0.077,0.074,0.076,0.079,0.079
Raw Data (Abs Spectrum),680,0.079,0.076,0.073,0.076,0.078,0.077,0.077,0.074,0.074,0.077,0.077,0.082,0.076,0.074,0.072,0.076,0.078,0.079,0.076,0.076,0.073,0.076,0.079,0.078
Raw Data (Abs Spectrum),690,0.079,0.077,0.073,0.077,0.078,0.078,0.077,0.074,0.074,0.077,0.077,0.082,0.076,0.075,0.073,0.077,0.079,0.08,0.077,0.077,0.074,0.076,0.079,0.079
Raw Data (Abs Spectrum),700,0.079,0.076,0.073,0.076,0.077,0.077,0.077,0.074,0.074,0.076,0.077,0.081,0.076,0.074,0.072,0.076,0.078,0.078,0.077,0.076,0.073,0.075,0.078,0.078
Raw Data (Abs Spectrum),710,0.081,0.078,0.075,0.078,0.08,0.079,0.079,0.075,0.075,0.079,0.079,0.083,0.077,0.076,0.074,0.078,0.08,0.081,0.078,0.078,0.075,0.077,0.08,0.08
Raw Data (Abs Spectrum),720,0.082,0.079,0.076,0.078,0.08,0.08,0.08,0.076,0.076,0.079,0.079,0.084,0.079,0.077,0.075,0.079,0.08,0.081,0.079,0.079,0.077,0.078,0.081,0.081
Raw Data (Abs Spectrum),730,0.084,0.081,0.078,0.081,0.083,0.083,0.082,0.079,0.079,0.082,0.082,0.087,0.081,0.079,0.077,0.081,0.083,0.084,0.081,0.081,0.079,0.081,0.084,0.084
Raw Data (Abs Spectrum),740,0.086,0.084,0.081,0.083,0.086,0.085,0.085,0.082,0.082,0.085,0.085,0.089,0.083,0.082,0.08,0.084,0.085,0.086,0.084,0.084,0.082,0.084,0.086,0.087
Raw Data (Abs Spectrum),750,0.086,0.084,0.082,0.084,0.086,0.086,0.085,0.082,0.082,0.085,0.085,0.089,0.084,0.083,0.08,0.084,0.085,0.087,0.084,0.084,0.082,0.084,0.086,0.087